25,7.360298648791839E-24, -8.992291722930352E-24, 2.652379448559918E-23, -1.2612075438706497E-23, 1.2267009534962006E-23, -3.1181383886761456E-23, 7.075556938469599E-24, 7.210329090961177E-24, 2.2941436697749435E-23, -1.91323192649721E-23
750,1.188987327997666E-24, -1.4125634261346238E-24, 4.1814357197840426E-24, -1.9869013981822205E-24, 1.9184205802152107E-24, -4.6926850339746546E-24, 1.07614639613975E-24, 1.0993224392818512E-24, 3.516222844999635E-24, -3.0344889587930936E-24
850,1.563334663860216E-24, -1.3255496030984173E-24, 3.707870291035838E-24, -1.97911849649131E-24, 1.789906855715203E-24, -4.77627983524002E-24, 1.2046464141815294E-24, 1.354543791239363E-24, 3.342293214894696E-24, -3.1805325531136963E-24
875,8.211844808124428E-24, -9.929281773490145E-24, 2.934209788825349E-23, -1.4068441254072035E-23, 1.3441822215784208E-23, -3.39928778420819E-23, 7.752509246815053E-24, 7.980443505630517E-24, 2.5204913715378273E-23, -2.1120133572436888E-23
1025,1.41727507538476E-22, -6.855444866618125E-23, 2.3769275220297417E-22, -1.1785430462708114E-22, 1.2778714889641926E-22, -3.250012266201942E-22, 8.078894293235185E-23, 9.60190071129108E-23, 2.0975848072972706E-22, -2.7083122110949843E-22
1125,4.225922445850237E-25, -4.599461396500162E-25, 1.3746769020471874E-24, -6.551589411549787E-25, 6.381215177544679E-25, -1.5966029989932622E-24, 3.652517203215451E-25, 3.851750680842905E-25, 1.1737547197406877E-24, -1.0389111753371867E-24
1300,5.678642047504231E-24, -6.4392203171208065E-24, 1.9939331859622248E-23, -9.384630116420212E-24, 9.111356865938075E-24, -2.2781078630657918E-23, 5.2809117897271856E-24, 5.2074080971614074E-24, 1.694086367026813E-23, -1.4732840418832707E-23
1350,2.4432080886029542E-23, -3.2025348303933966E-23, 9.560671684940609E-23, -4.501185736016452E-23, 4.3563237370027347E-23, -1.092078085042326E-22, 2.529174047977233E-23, 2.4014147111608881E-23, 8.177943668494736E-23, -6.784077567155866E-23
1850,1.6609927843057958E-24, -2.0857174678290516E-24, 6.3846291703272494E-24, -2.9492738372284043E-24, 2.886848315569871E-24, -7.14016622432901E-24, 1.6084078094018289E-24, 1.5557468080281213E-24, 5.372440165116359E-24, -4.551758977561447E-24
1925,4.227089466951898E-25, -4.590510290416232E-25, 1.4232736920371963E-24, -6.637438678674661E-25, 6.497856150990658E-25, -1.65890604999626E-24, 3.7827793393042677E-25, 3.851333077601204E-25, 1.2188861423816739E-24, -1.0637517149893043E-24
2175,7.465344944652879E-24, -5.3225226247557835E-24, 1.8822366348979902E-23, -8.732646044585908E-24, 8.916822188988763E-24, -2.312674170210766E-23, 5.527438711217804E-24, 5.636362258428006E-24, 1.6193746128707793E-23, -1.6778647046883912E-23
2225,4.1607367984919484E-24, -5.968905784163018E-24, 1.7339372533758628E-23, -8.118877550444131E-24, 7.909201477280007E-24, -1.973752861829223E-23, 4.4477780383529076E-24, 4.227385289791356E-24, 1.4791869302648585E-23, -1.1983118216695594E-23
2250,6.59478376651648E-23, -5.40287362997888E-23, 1.6347184623483073E-22, -8.397996733550499E-23, 8.131653310576367E-23, -2.0872750894636286E-22, 5.41294706819419E-23, 5.780221773003368E-23, 1.4863738633190926E-22, -1.4140046473983309E-22
2450,9.676387482316944E-23, -7.505572906514624E-23, 2.343108487043065E-22, -1.175878463459592E-22, 1.1484408714340466E-22, -2.940754557548297E-22, 7.861824384578606E-23, 7.945275770931402E-23, 2.106305696158925E-22, -2.0645098259163985E-22
