150,9.632494230186073E-30, -6.511622105046715E-29, 3.6583085034471724E-28, -1.118415805801726E-28, 1.0887295216389412E-28, -2.49567370723418E-28, 3.5675595270619965E-29, -3.878128143814783E-30, 2.316760833931682E-28, -1.7481828605541998E-28
300,8.392691423081834E-22, -7.4554171301606725E-22, 2.5649947891119152E-21, -1.1852785300062056E-21, 1.1719123737507284E-21, -3.013933334084433E-21, 6.987622865800102E-22, 6.939894382897079E-22, 2.188250774701307E-21, -2.021807737509503E-21
325,1.8480638115725402E-23, -2.2722650858851818E-23, 6.842650173824164E-23, -3.177469879535266E-23, 3.2280939237225573E-23, -7.784083720090886E-23, 1.6999786846722708E-23, 1.7646534459868155E-23, 5.831296414539722E-23, -4.8015801821922683E-23
525,4.0676133463524184E-24, -1.1761695215791824E-23, 3.798156052727107E-23, -1.5494479311936352E-23, 1.4401847004776454E-23, -3.4937759657137524E-23, 6.475842001354334E-24, 4.334151302425778E-24, 2.929023186145702E-23, -2.1154568928671596E-23
575,4.1894726504636523E-22, -1.7214363639374427E-22, 6.2904631911698155E-22, -3.072953508875917E-22, 3.4846268200438715E-22, -8.815992417775002E-22, 2.138998995079415E-22, 2.712390811301594E-22, 5.529034955482301E-22, -7.828057351302802E-22
725,3.643324429593207E-23, -3.5776167338093657E-23, 1.2401138292499286E-22, -5.519409842696646E-23, 5.620141069406127E-23, -1.4603558422697105E-22, 3.60241788958079E-23, 3.272098478281958E-23, 1.0740066069900335E-22, -9.370209107984048E-23
1425,1.923108583359713E-24, -2.3243632744460595E-24, 8.853146125580228E-24, -3.508266788340029E-24, 3.7232869997065725E-24, -8.764098717737975E-24, 1.7971626011061997E-24, 1.520774138909345E-24, 6.8838195622902E-24, -6.0564902494565386E-24
1475,2.0073755958054277E-27, -9.670611940737363E-27, 2.619022827565626E-26, -1.0387047094841726E-26, 9.715337426649878E-27, -2.5137363975146554E-26, 4.7608344964651045E-27, 3.0021097453966852E-27, 2.1247347562313883E-26, -1.1672787910878934E-26
1600,5.381695933226189E-22, -7.104707494619177E-22, 1.9502071371676907E-21, -1.0396130540724153E-21, 9.112062896448248E-22, -2.2702991750896114E-21, 5.912508698099138E-22, 5.842037292189721E-22, 1.750322254097876E-21, -1.3732205890855025E-21
1875,7.283671067041385E-24, -2.140250633346075E-23, 5.748746853973774E-23, -2.6447584211267587E-23, 2.4741610972576542E-23, -6.108146833682674E-23, 1.2878469033234201E-23, 1.1099854326946784E-23, 4.866298646400962E-23, -3.133940850329533E-23
